file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
a5eb6c58ce65aff20ebc4924b991795a,นอกเขต ชุดที่ 4.pdf,2026-05-06T10:19:32.851670,4,advance_in_district,partylist,,,,,,,608.0,608.0,9.0,23.0,False,True,Ballot math mismatch: 608+9+23=640 ≠ 608,OK,"ballot_math_fail (total=608, valid+void+spoiled=640)",1,,C,M1,,0.014802631578947368,0.03782894736842105
9285377ca5b4959b50fd01cdc48c7099,ทต.ตลาดแค น.3.pdf,2026-05-06T15:37:34.869908,4,normal,partylist,อำเภอโนนสูง,ตำบลธารปราสาท,2.0,3.0,473.0,303.0,903.0,269.0,21.0,13.0,False,True,Ballot math mismatch: 269+21+13=303 ≠ 903,OK,"ballot_math_fail (total=903, valid+void+spoiled=303)",1,,C,M0,0.6405919661733616,0.023255813953488372,0.014396456256921373
91aba0d6831ddadd82e08472e2a8d340,หลุมข้าว น.14.pdf,2026-05-06T13:34:38.178862,4,normal,partylist,อำเภอโนนสูง,ตำบลหลุมข้าว,12.0,14.0,267.0,391.0,391.0,268.0,45.0,28.0,False,True,Ballot math mismatch: 268+45+28=341 ≠ 391,OK,"ballot_math_fail (total=391, valid+void+spoiled=341)",1,,C,M0,1.4644194756554307,0.11508951406649616,0.07161125319693094
9ec0b3f726dfccbc557c64f111530dc4,ลำมูล น.1 10-2-69 09.36.pdf,2026-05-06T13:21:43.717093,2,normal,district,อำเภอโนนสูง,ตำบลลำมูล,1.0,1.0,404.0,218.0,218.0,262.0,7.0,9.0,False,True,Ballot math mismatch: 262+7+9=278 ≠ 218,OK,"ballot_math_fail (total=218, valid+void+spoiled=278)",1,,C,M0,0.5396039603960396,0.03211009174311927,0.04128440366972477
a7531627982bc92e4137f34f3e6aeb8c,หน่วยที่ 4 ตำบลจันอัด.pdf,2026-05-06T11:50:56.314284,4,normal,partylist,อำเภอโนนสูง,ตำบลจันอัด,4.0,4.0,572.0,399.0,399.0,364.0,18.0,0.0,False,True,Ballot math mismatch: 364+18+0=382 ≠ 399,OK,"ballot_math_fail (total=399, valid+void+spoiled=382)",1,,C,M0,0.6975524475524476,0.045112781954887216,0.0
f8139889ac2eb2a32ee940a21e53ccd3,น.5 ต.ชีวาน ส.ส.5_18.pdf,2026-05-06T10:33:20.052635,1,normal,district,อำเภอพิมาย,ตำบลชีวาน,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"ocr_missed_candidates:[1, 2, 4, 5, 6]",1,,C,M2,,,
b775f05a2a282d3910b9e16c39eee256,ช.6.pdf,2026-05-06T10:16:02.095697,4,advance_out_of_district,partylist,,,,,,,625.0,592.0,0.0,24.0,False,True,Ballot math mismatch: 592+0+24=616 ≠ 625,OK,"ballot_math_fail (total=625, valid+void+spoiled=616)",1,,C,M1,,0.0,0.0384
df838e8e89a4707ff202a504c3924fbd,น.1 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,2026-05-06T10:22:08.658036,2,normal,district,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,1.0,1.0,669.0,448.0,448.0,419.0,44.0,15.0,False,True,Ballot math mismatch: 419+44+15=478 ≠ 448,OK,"ballot_math_fail (total=448, valid+void+spoiled=478)",1,,C,M0,0.6696562032884903,0.09821428571428571,0.033482142857142856
dc33feab0951277c3b21975359099222,ดอนชมพู น.11.pdf,2026-05-09T13:21:00.379264,6,normal,district,อำเภอโนนสูง,ตำบลดอนชมพู,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",1,,C,M2,,,
06262dd43963995e2e11c892735cb75e,ส.ส.5ทับ18 (บช).pdf,2026-05-06T11:03:07.879098,4,normal,partylist,อำเภอเฉลิมพระเกียรติ,ตำบลช้างทอง,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,,0,,C,M2,,,
7bb7782d0289441ef6d4588eda70a3e5,หน่วยที่ 5 ตำบลใหม่.pdf,2026-05-06T15:29:29.090718,2,normal,district,อำเภอโนนสูง,ตำบลใหม่,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,,0,,C,M2,,,
c49a046c54c8f4876970e214ebeb811f,ทต.โนนสูง หน่วยที่ 7.pdf,2026-05-06T15:16:44.882978,2,normal,district,อำเภอโนนสูง,ตำบลโนนสูง,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,,0,,C,M2,,,
e79a810bc58d3eca65be424181e0730c,น.9 ต.สัมฤทธิ์ ส.ส.5_18.pdf,2026-05-06T10:57:36.818515,2,normal,district,อำเภอพิมาย,ตำบลสัมฤทธิ์,,,,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,,0,,C,M2,,,
