file_id,pdf_name,election_type,ballot_type,total_is_valid,candidate_sum_valid,both_valid,failure_modes,,
138c5ce25c670ea2f3d1b1657a63de58,พลสงคราม น.9 10-2-69 10.18.pdf,normal,district,FALSE,FALSE,FALSE,"ballot_math_fail (total=324, valid+void+spoiled=328) | candidate_sum_fail (sum=303, valid_votes=301)",,
138c5ce25c670ea2f3d1b1657a63de58,พลสงคราม น.9 10-2-69 10.18.pdf,normal,partylist,TRUE,TRUE,TRUE,,,
1424a7fe85ab76e20aa8dafd9db82a5c,สส.5ทับ18.pdf,normal,district,TRUE,TRUE,TRUE,,,
160a1b51005cc1cbb633e9e34b2e36a3,น.10 ต.กระเบื้องใหญ่ ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=275, valid_votes=433)",,
1708b29955dd5ceae78ec06675794ab7,น.9 ต.ชีวาน ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=306, valid_votes=279)",,
189ea2f4f4a10fa94f74375cb94d9ff1,น.5 ต.ชีวาน ส.ส.5_18 (บช).pdf,normal,district,FALSE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57] | ballot_math_fail (total=197, valid+void+spoiled=194) | candidate_sum_fail (sum=23, valid_votes=165)",,
190d6d0f36efd27ad5d87ca33aa82497,ขามเฒ่า น.4.pdf,normal,district,FALSE,TRUE,FALSE,"null_header_field:eligible_voters | ballot_math_fail (total=315, valid+void+spoiled=321)",,
190d6d0f36efd27ad5d87ca33aa82497,ขามเฒ่า น.4.pdf,normal,partylist,FALSE,FALSE,FALSE,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,,
1c8ba052964145649d3fde915d69e1f3,ลำคอหงษ์ น.1.pdf,normal,district,TRUE,TRUE,TRUE,,,
1c8ba052964145649d3fde915d69e1f3,ลำคอหงษ์ น.1.pdf,normal,partylist,TRUE,FALSE,FALSE,"ocr_missed_candidates:[30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52] | candidate_sum_fail (sum=15601, valid_votes=106)",,
1cd37fa4edbbaeb75dd50e502d334240,ขามเฒ่า น.14.pdf,normal,district,FALSE,FALSE,FALSE,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,,
1cd37fa4edbbaeb75dd50e502d334240,ขามเฒ่า น.14.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=93, valid_votes=140)",,
1d09187e57d0477f9258c24ff39f001c,ลำมูล น.6 10-2-69 09.51.pdf,normal,district,FALSE,FALSE,FALSE,"null_header_field:total_ballots | null_header_field:void_ballots | ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=289, valid_votes=556)",,
1d09187e57d0477f9258c24ff39f001c,ลำมูล น.6 10-2-69 09.51.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=515, valid_votes=513)",,
1ea5f32e7afe9409dde7761a484c6e42,น.1 ต.ท่าหลวง ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,null_header_field:eligible_voters,,
1ec34c1294afa32512d0666a8162c44d,น.1 ต.สัมฤทธิ์ ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
20298fcae0682f278fa4d66a287dd1dd,ตำบลธารปราสาท หน่วยที่6 หมู่ที่ 12.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=503, valid_votes=447)",,
20298fcae0682f278fa4d66a287dd1dd,ตำบลธารปราสาท หน่วยที่6 หมู่ที่ 12.pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=480, valid+void+spoiled=500) | candidate_sum_fail (sum=321, valid_votes=427)",,
21a8c29a910298cacaa5b5acbd74748c,518บช หน่วย13.pdf,normal,district,TRUE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57] | candidate_sum_fail (sum=105, valid_votes=288)",,
223a32f8ad951a6cf6a87628b2b13eaf,น.9.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=268, valid_votes=270)",,
223a32f8ad951a6cf6a87628b2b13eaf,น.9.pdf,normal,partylist,TRUE,TRUE,TRUE,null_header_field:eligible_voters,,
23312792843a819123d59e0984dd9110,"ตำบลธารปราสาท หน่วยที่ 10 หมู่ที่ 1,12,15.pdf",normal,district,TRUE,FALSE,FALSE,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=83, valid_votes=104)",,
23312792843a819123d59e0984dd9110,"ตำบลธารปราสาท หน่วยที่ 10 หมู่ที่ 1,12,15.pdf",normal,partylist,TRUE,FALSE,FALSE,"ocr_missed_candidates:[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] | candidate_sum_fail (sum=12, valid_votes=101)",,
237715788c82c4eb8cb13b5acbcaca68,สส.5ทับ18(บช).pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=465, valid+void+spoiled=469) | candidate_sum_fail (sum=450, valid_votes=442)",,
24ce28abf37774d6b54038ecdc87cc08,ทต.มะค่า น.2.pdf,normal,district,FALSE,TRUE,FALSE,null_header_field:total_ballots,,
24ce28abf37774d6b54038ecdc87cc08,ทต.มะค่า น.2.pdf,normal,district,TRUE,FALSE,FALSE,"ocr_extra_candidates:[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57] | candidate_sum_fail (sum=73, valid_votes=256)",,
253e38f07e33e0b09f3b6e390395bf2f,ลำคอหงษ์ น.2.pdf,normal,district,FALSE,TRUE,FALSE,"ballot_math_fail (total=530, valid+void+spoiled=527)",,
253e38f07e33e0b09f3b6e390395bf2f,ลำคอหงษ์ น.2.pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=537, valid+void+spoiled=541) | candidate_sum_fail (sum=486, valid_votes=493)",,
